canonical_service,service_family,platform_count,platforms,raw_label_count
Dog Walking,Pet Services,2,Airtasker | Bark,1
Draught Proofing,Other / Unmapped,2,Airtasker | Checkatrade,1
Dry Rot Treatment,Other / Unmapped,2,Airtasker | Checkatrade,1
Entertainment,Other / Unmapped,2,Airtasker | Bark,1
Garage Conversion,Other / Unmapped,2,Airtasker | Rated People,1
Greater Manchester,Other / Unmapped,2,Rated People | Treatwell,1
Key Cutting,Other / Unmapped,2,Airtasker | Checkatrade,1
Leadwork,Other / Unmapped,2,Checkatrade | Rated People,1
Loft Conversion,Other / Unmapped,2,Airtasker | Rated People,1
Loft Conversion Specialists,Other / Unmapped,2,Checkatrade | Rated People,1
Metal Staircases,Other / Unmapped,2,Checkatrade | Rated People,1
Milton Keynes,Other / Unmapped,2,MyBuilder | MyJobQuote,1
Mobile Welding,Other / Unmapped,2,Airtasker | Checkatrade,1
Mulching,Other / Unmapped,2,Airtasker | Checkatrade,1
Norwich,Other / Unmapped,2,MyBuilder | MyJobQuote,1
Office Clearance,Other / Unmapped,2,Airtasker | Checkatrade,1
Pet Training,Pet Services,2,Airtasker | Bark,1
Polished Concrete,Other / Unmapped,2,Checkatrade | Rated People,1
Project Management,Other / Unmapped,2,Airtasker | Checkatrade,1
Reading,Other / Unmapped,2,MyBuilder | MyJobQuote,1
Sound Proofing,Other / Unmapped,2,Checkatrade | Rated People,1
Southampton,Other / Unmapped,2,MyBuilder | MyJobQuote,1
Storage,Other / Unmapped,2,Checkatrade | Rated People,1
Structural Engineer,Other / Unmapped,2,Bark | Checkatrade,1
Stump Grinding,Other / Unmapped,2,Checkatrade | Rated People,1
Swimming Pool Maintenance,Other / Unmapped,2,Checkatrade | Rated People,1
TV Wall Mounting,Other / Unmapped,2,Airtasker | Checkatrade,1
Testimonials,Other / Unmapped,2,Checkatrade | Rated People,1
Tree Pruning,Other / Unmapped,2,Airtasker | Checkatrade,1
Underfloor Heating Installation,Other / Unmapped,2,Airtasker | Checkatrade,1
Wallpapering,Other / Unmapped,2,Airtasker | Checkatrade,1
Water Features,Other / Unmapped,2,Airtasker | Checkatrade,1
Pet Sitting,Pet Services,1,Airtasker,3
Videography,Events & Creative,1,Airtasker,2
Yoga,Health & Fitness,1,Airtasker,2
02394 317546,Other / Unmapped,1,Checkatrade,1
Aberdeen,Other / Unmapped,1,MyJobQuote,1
Access Ramp Indoor / Outdoor,Other / Unmapped,1,Checkatrade,1
Accident Repair,Other / Unmapped,1,Checkatrade,1
Acupuncture,Other / Unmapped,1,Airtasker,1
Adjustable Beds,Other / Unmapped,1,Checkatrade,1
Admin,Other / Unmapped,1,Airtasker,1
Adobe Photoshop Designer,Other / Unmapped,1,Airtasker,1
Advertising,Other / Unmapped,1,Airtasker,1
Advertising and Media Buying,Other / Unmapped,1,Bark,1
Aerobics Classes,Other / Unmapped,1,Airtasker,1
After School Care & Pick Up,Other / Unmapped,1,Airtasker,1
Aged Care,Other / Unmapped,1,Airtasker,1
Aggregate Supplier,Other / Unmapped,1,Checkatrade,1
Agricultural Contractor,Other / Unmapped,1,Checkatrade,1
Agricultural Irrigation,Other / Unmapped,1,Checkatrade,1
Agricultural Merchant,Other / Unmapped,1,Checkatrade,1
Air Source Heat Pump Engineers,Other / Unmapped,1,Checkatrade,1
Air Source Heat Pump Installation & Repairs,Other / Unmapped,1,Airtasker,1
Air Source Heat Pump Installation - ASHP,Other / Unmapped,1,Checkatrade,1
Air Source Heat Pump Installers,Other / Unmapped,1,Checkatrade,1
Air Source Heat Pump Repair,Other / Unmapped,1,Checkatrade,1
Air Source Heat Pump Servicing,Other / Unmapped,1,Checkatrade,1
Air Source Heat Pump Servicing / Repair - ASHP,Other / Unmapped,1,Checkatrade,1
Aircon Installation,Other / Unmapped,1,Airtasker,1
Aircon Repair,Other / Unmapped,1,Airtasker,1
Airport Transfers,Other / Unmapped,1,Checkatrade,1
Aldi Grocery Delivery,Other / Unmapped,1,Airtasker,1
Alfa Romeo Service,Other / Unmapped,1,Airtasker,1
Alloy Wheel Refurbishment,Other / Unmapped,1,Checkatrade,1
Alloy Wheel Repair,Other / Unmapped,1,Airtasker,1
Alloy Wheels Repairs,Other / Unmapped,1,Checkatrade,1
Alterations,Other / Unmapped,1,Airtasker,1
Alternator Repair,Other / Unmapped,1,Airtasker,1
Alternator Replacement,Other / Unmapped,1,Airtasker,1
Amplifier Repair,Other / Unmapped,1,Airtasker,1
Android App Development,Other / Unmapped,1,Airtasker,1
Angus,Other / Unmapped,1,Rated People,1
Antenna Installation,Other / Unmapped,1,Airtasker,1
Anti Vandal Coatings,Other / Unmapped,1,Checkatrade,1
Antique Restoration,Other / Unmapped,1,Checkatrade,1
Antrim,Other / Unmapped,1,Rated People,1
App Development,Other / Unmapped,1,Airtasker,1
Apple Help,Other / Unmapped,1,Airtasker,1
Apple Mac Repairs,Other / Unmapped,1,Airtasker,1
Apple TV Setup,Other / Unmapped,1,Airtasker,1
Appliance Installation,Other / Unmapped,1,Airtasker,1
Appliance Retailer,Other / Unmapped,1,Checkatrade,1
Appliance Services / Repair,Other / Unmapped,1,Checkatrade,1
Appliances,Other / Unmapped,1,Airtasker,1
Aquarium Maintenance,Other / Unmapped,1,Airtasker,1
Aquariums,Other / Unmapped,1,Checkatrade,1
Arborist,Other / Unmapped,1,Airtasker,1
Architraves,Other / Unmapped,1,Checkatrade,1
Argyll and Bute,Other / Unmapped,1,Rated People,1
Armagh,Other / Unmapped,1,Rated People,1
Artexing,Other / Unmapped,1,Checkatrade,1
Article Writing,Other / Unmapped,1,Airtasker,1
Artifical Grass / Astro Turf,Other / Unmapped,1,Rated People,1
Artificial Grass,Other / Unmapped,1,Checkatrade,1
Artisan Baker,Other / Unmapped,1,Airtasker,1
Asbestos Services,Other / Unmapped,1,Checkatrade,1
Asbestos Surveys,Other / Unmapped,1,Checkatrade,1
Asbestos Testing,Other / Unmapped,1,Checkatrade,1
Ask a tradesperson,Other / Unmapped,1,Rated People,1
At Home Personal Training,Other / Unmapped,1,Airtasker,1
Attic Ladder Installation,Other / Unmapped,1,Airtasker,1
Audi Service,Other / Unmapped,1,Airtasker,1
Audio / Visual Installation,Other / Unmapped,1,Checkatrade,1
Audio Visual,Other / Unmapped,1,Airtasker,1
AutoCAD Designer,Other / Unmapped,1,Airtasker,1
Aviaries,Other / Unmapped,1,Checkatrade,1
Awning,Other / Unmapped,1,Airtasker,1
Awning Repair,Other / Unmapped,1,Airtasker,1
Awnings / Canopies,Other / Unmapped,1,Checkatrade,1
Ayrshire and Arran,Other / Unmapped,1,Rated People,1
B2B IT Support,Other / Unmapped,1,Checkatrade,1
BBQ Delivery,Other / Unmapped,1,Airtasker,1
BBQ Repair,Other / Unmapped,1,Airtasker,1
BMW Service,Other / Unmapped,1,Airtasker,1
Baby Gift Delivery,Other / Unmapped,1,Airtasker,1
Baby Proofing,Other / Unmapped,1,Airtasker,1
Babysitter,Other / Unmapped,1,Airtasker,1
Backhoeing,Other / Unmapped,1,Airtasker,1
Bagpiper,Other / Unmapped,1,Airtasker,1
Bakers,Other / Unmapped,1,Airtasker,1
Balloon Artist,Other / Unmapped,1,Airtasker,1
Balloon Delivery,Other / Unmapped,1,Airtasker,1
Balustrades,Other / Unmapped,1,Checkatrade,1
Balustrading,Other / Unmapped,1,Airtasker,1
Band Hire,Other / Unmapped,1,Airtasker,1
Banffshire,Other / Unmapped,1,Rated People,1
Barista,Other / Unmapped,1,Airtasker,1
Barn Conversion,Other / Unmapped,1,Checkatrade,1
Barn Conversions,Other / Unmapped,1,Checkatrade,1
Bartending,Other / Unmapped,1,Airtasker,1
Basement / Cellar Conversions,Other / Unmapped,1,Checkatrade,1
Basement Conversion,Other / Unmapped,1,Airtasker,1
