canonical_service,service_family,platform_count,platforms,raw_label_count
Costa Coffee Delivery,Other / Unmapped,1,Airtasker,1
Costume Maker,Other / Unmapped,1,Airtasker,1
Couple Photoshoots,Other / Unmapped,1,Airtasker,1
Coving,Other / Unmapped,1,Checkatrade,1
Crafts,Other / Unmapped,1,Bark,1
Crane Hire,Other / Unmapped,1,Checkatrade,1
Create a job,Other / Unmapped,1,Rated People,1
Creative Writer,Other / Unmapped,1,Airtasker,1
Cumbria,Other / Unmapped,1,Rated People,1
Cupboards,Other / Unmapped,1,Checkatrade,1
Curly Hair Specialists,Other / Unmapped,1,Airtasker,1
Curtain / Blind Fitters,Other / Unmapped,1,Checkatrade,1
Curtain Fitter,Other / Unmapped,1,Checkatrade,1
Curtain Poles / Tracks,Other / Unmapped,1,Checkatrade,1
Curtain Rod Installation,Other / Unmapped,1,Airtasker,1
Curtain Supply & Fit,Other / Unmapped,1,Checkatrade,1
Curtains & Blinds Fitters,Other / Unmapped,1,Airtasker,1
Curtains / Blinds / Shutters,Other / Unmapped,1,Checkatrade,1
Custom Birthday Cakes,Other / Unmapped,1,Airtasker,1
Custom Cakes,Other / Unmapped,1,Airtasker,1
Custom Shelving,Other / Unmapped,1,Airtasker,1
Cycling Training,Other / Unmapped,1,Airtasker,1
Dancer,Other / Unmapped,1,Airtasker,1
Dash Cam Installation,Other / Unmapped,1,Airtasker,1
Data Cable Installation,Other / Unmapped,1,Airtasker,1
Data Entry,Other / Unmapped,1,Airtasker,1
Data Recovery,Other / Unmapped,1,Airtasker,1
Data Recovery / Back up,Other / Unmapped,1,Checkatrade,1
Data Shredding,Other / Unmapped,1,Checkatrade,1
Database Developer,Other / Unmapped,1,Airtasker,1
Day Nurseries,Other / Unmapped,1,Yell,1
Deck Repair,Other / Unmapped,1,Airtasker,1
Deck Sealing,Other / Unmapped,1,Airtasker,1
Deck Staining,Other / Unmapped,1,Airtasker,1
Delivery,Other / Unmapped,1,Airtasker,1
Dent Repair,Other / Unmapped,1,Checkatrade,1
Dental,Other / Unmapped,1,Booksy,1
Dentists,Other / Unmapped,1,Yell,1
Derbyshire,Other / Unmapped,1,Rated People,1
Design,Other / Unmapped,1,Airtasker,1
Design & Web,Other / Unmapped,1,Bark,1
Dessert Delivery,Other / Unmapped,1,Airtasker,1
Development and Software,Other / Unmapped,1,Bark,1
Devon,Other / Unmapped,1,Rated People,1
Diagnostic Testing,Other / Unmapped,1,Checkatrade,1
Diamond Drilling,Other / Unmapped,1,Checkatrade,1
Dietitian,Other / Unmapped,1,Airtasker,1
Digital Design,Other / Unmapped,1,Airtasker,1
Digital Home Network,Other / Unmapped,1,Rated People,1
Dining Chair Repair,Other / Unmapped,1,Airtasker,1
Dinner Delivery,Other / Unmapped,1,Airtasker,1
Disability Access Installation,Other / Unmapped,1,Rated People,1
Disabled Access / Mobility Service,Other / Unmapped,1,Rated People,1
Discover,Other / Unmapped,1,Yell,1
Dishwasher Not Draining,Other / Unmapped,1,Airtasker,1
Doctors (medical Practitioners),Other / Unmapped,1,Yell,1
Document Filing,Other / Unmapped,1,Airtasker,1
Dog Care,Other / Unmapped,1,Airtasker,1
Dog Day Care,Other / Unmapped,1,Airtasker,1
Dog Flaps,Other / Unmapped,1,Checkatrade,1
Dog Food Delivery,Other / Unmapped,1,Airtasker,1
Dog Wash,Other / Unmapped,1,Airtasker,1
Donut Delivery,Other / Unmapped,1,Airtasker,1
Dorset,Other / Unmapped,1,Rated People,1
Down,Other / Unmapped,1,Rated People,1
Downlights Installation,Other / Unmapped,1,Airtasker,1
Download app,Other / Unmapped,1,Checkatrade,1
Download on the App Store,Other / Unmapped,1,Rated People,1
Downpipe Installation & Repair,Other / Unmapped,1,Airtasker,1
Drafting,Other / Unmapped,1,Airtasker,1
Draftsman,Other / Unmapped,1,Airtasker,1
Drain / Sewer Clearance,Other / Unmapped,1,Checkatrade,1
Drain Installation,Other / Unmapped,1,Checkatrade,1
Drain Relining,Other / Unmapped,1,Checkatrade,1
Drain Repair,Other / Unmapped,1,Checkatrade,1
Drainage Investigation,Other / Unmapped,1,Checkatrade,1
Drainage Specialist,Other / Unmapped,1,Rated People,1
Drainage Specialists,Other / Unmapped,1,Rated People,1
Drawing,Other / Unmapped,1,Airtasker,1
Dressmakers,Other / Unmapped,1,Airtasker,1
Dried Flower Delivery,Other / Unmapped,1,Airtasker,1
Drip Irrigation Systems,Other / Unmapped,1,Airtasker,1
Driving,Other / Unmapped,1,Airtasker,1
Driving instructors,Other / Unmapped,1,Yell,1
Drone Repair,Other / Unmapped,1,Airtasker,1
Drone Training,Other / Unmapped,1,Airtasker,1
Drop Ceiling Installation,Other / Unmapped,1,Checkatrade,1
Drop Ceiling Repair,Other / Unmapped,1,Checkatrade,1
Drop Kerbs,Other / Unmapped,1,Checkatrade,1
Dry Lining,Other / Unmapped,1,Checkatrade,1
Dry Ridge Installation,Other / Unmapped,1,Checkatrade,1
Dry Ridge Repair,Other / Unmapped,1,Checkatrade,1
Dry Stone Walling,Other / Unmapped,1,Checkatrade,1
Dry Verge Installation,Other / Unmapped,1,Checkatrade,1
Dry Verge Repair,Other / Unmapped,1,Checkatrade,1
Dryer Installation,Other / Unmapped,1,Airtasker,1
Dryer Repair,Other / Unmapped,1,Airtasker,1
Drywall Repair & Patch,Other / Unmapped,1,Airtasker,1
Dumfries,Other / Unmapped,1,Rated People,1
Dunbartonshire,Other / Unmapped,1,Rated People,1
Durham,Other / Unmapped,1,Rated People,1
Dust / Fume Extraction,Other / Unmapped,1,Checkatrade,1
Dusting,Other / Unmapped,1,Airtasker,1
Dyfed,Other / Unmapped,1,Rated People,1
Dyson Wall Mounting,Other / Unmapped,1,Airtasker,1
EPOS,Other / Unmapped,1,Checkatrade,1
EV Charger Installation Only,Other / Unmapped,1,Checkatrade,1
EV Charger Repair,Other / Unmapped,1,Checkatrade,1
EV Charger Supply and Install,Other / Unmapped,1,Checkatrade,1
EV Services,Other / Unmapped,1,Airtasker,1
East Lothian,Other / Unmapped,1,Rated People,1
East Riding of Yorkshire,Other / Unmapped,1,Rated People,1
East Sussex,Other / Unmapped,1,Rated People,1
Electronic Repair,Other / Unmapped,1,Airtasker,1
Eligibility Criteria and T&C’s apply,Other / Unmapped,1,Checkatrade,1
Email Setup,Other / Unmapped,1,Airtasker,1
Embroidery Services,Other / Unmapped,1,Airtasker,1
Emergency Appliance Services / Repair Service,Other / Unmapped,1,Checkatrade,1
Emergency Asbestos Service,Other / Unmapped,1,Checkatrade,1
Emergency Chimney Sweep Service,Other / Unmapped,1,Checkatrade,1
Emergency Curtains / Blinds / Shutters Service,Other / Unmapped,1,Checkatrade,1
Emergency Drain / Sewer Clearance Service,Other / Unmapped,1,Checkatrade,1
Emergency Fireplaces / Stove Service,Other / Unmapped,1,Checkatrade,1
Emergency Garage / Vehicle Service,Other / Unmapped,1,Checkatrade,1
Emergency Glazing,Other / Unmapped,1,Airtasker,1
Emergency Groundwork Service,Other / Unmapped,1,Checkatrade,1
Emergency Hire Service,Other / Unmapped,1,Checkatrade,1
Emergency Home Automation / Media Service,Other / Unmapped,1,Checkatrade,1
Emergency Household Water Treatment Service,Other / Unmapped,1,Checkatrade,1
Emergency IT and Consultancy Service,Other / Unmapped,1,Checkatrade,1
Emergency Landlord Service,Other / Unmapped,1,Checkatrade,1
Emergency Metalwork / Blacksmith Service,Other / Unmapped,1,Checkatrade,1
Emergency Miscellaneous Service,Other / Unmapped,1,Checkatrade,1
Emergency Mobility Service,Other / Unmapped,1,Checkatrade,1
Emergency Renewable Energy Service,Other / Unmapped,1,Checkatrade,1
Emergency Stonemason Service,Other / Unmapped,1,Checkatrade,1
Emergency Surface Repair Service,Other / Unmapped,1,Checkatrade,1
Emergency Swimming Pool Service,Other / Unmapped,1,Checkatrade,1
Emergency Telecommunication Service,Other / Unmapped,1,Checkatrade,1
Emergency Towing / Transportation Service,Other / Unmapped,1,Checkatrade,1
Emergency Transport Service,Other / Unmapped,1,Checkatrade,1
Emergency Weather Coating Service,Other / Unmapped,1,Checkatrade,1
Employment Law,Other / Unmapped,1,Bark,1
Energy Performance Certificate,Other / Unmapped,1,Checkatrade,1
Energy Performance Certificate - EPC,Other / Unmapped,1,Checkatrade,1
Energy Tariff Broker,Other / Unmapped,1,Checkatrade,1
Engine Rebuild,Other / Unmapped,1,Airtasker,1
Engine Rebuilding,Other / Unmapped,1,Checkatrade,1
Engine Replacement,Other / Unmapped,1,Airtasker,1
Engraving,Other / Unmapped,1,Airtasker,1
Equestrian Stable,Other / Unmapped,1,Checkatrade,1
Errand Runners,Other / Unmapped,1,Airtasker,1
Essex,Other / Unmapped,1,Rated People,1
Estate agents,Other / Unmapped,1,Yell,1
Event Staff,Other / Unmapped,1,Airtasker,1
Events,Other / Unmapped,1,Airtasker,1
Events Setting,Other / Unmapped,1,Checkatrade,1
Executive Coach,Other / Unmapped,1,Airtasker,1
Exeter,Other / Unmapped,1,MyJobQuote,1
Exhaust Repair,Other / Unmapped,1,Airtasker,1
Extractor Fan Installation,Other / Unmapped,1,Airtasker,1
Extractor Fans,Other / Unmapped,1,Checkatrade,1
Fade buzz,Other / Unmapped,1,Treatwell,1
Family Photoshoots,Other / Unmapped,1,Airtasker,1
Fan Belt Replacement,Other / Unmapped,1,Airtasker,1
Farm Gate,Other / Unmapped,1,Checkatrade,1
Farmers,Other / Unmapped,1,Yell,1
Fast Food Delivery,Other / Unmapped,1,Airtasker,1
Father's Day Gift Delivery,Other / Unmapped,1,Airtasker,1
Fault Finding,Other / Unmapped,1,Checkatrade,1
"Feature your business in our national printed directories delivered in over 55,000 inserts.",Other / Unmapped,1,Checkatrade,1
Female Personal Training,Other / Unmapped,1,Airtasker,1
Fermanagh,Other / Unmapped,1,Rated People,1
Fiat Service,Other / Unmapped,1,Airtasker,1
Fife,Other / Unmapped,1,Rated People,1
File Conversion Help,Other / Unmapped,1,Airtasker,1
Financial Advisor,Other / Unmapped,1,Airtasker,1
Financial Modelling,Other / Unmapped,1,Airtasker,1
Financial Planning,Other / Unmapped,1,Airtasker,1
Financial Reporting,Other / Unmapped,1,Airtasker,1
Financial advisers,Other / Unmapped,1,Yell,1
Find a Tradesman,Other / Unmapped,1,Checkatrade,1
Find a tradesperson,Other / Unmapped,1,Rated People,1
Fire Damage,Other / Unmapped,1,Airtasker,1
Fire Damage Restoration,Other / Unmapped,1,Checkatrade,1
Fire Extinguishers,Other / Unmapped,1,Checkatrade,1
Fire Risk Assessment,Other / Unmapped,1,Checkatrade,1
Fire Risk Assessment Service,Other / Unmapped,1,Airtasker,1
Fire and Flood Renovation,Other / Unmapped,1,Checkatrade,1
Fireplace,Other / Unmapped,1,Rated People,1
Fireplace Installation,Other / Unmapped,1,Airtasker,1
Fireplace Surround,Other / Unmapped,1,Checkatrade,1
Fireplaces,Other / Unmapped,1,Checkatrade,1
Fireplaces / Stoves,Other / Unmapped,1,Checkatrade,1
First Aid Training,Other / Unmapped,1,Airtasker,1
Fish & Chips Takeaway,Other / Unmapped,1,Airtasker,1
Fish Tank Repair,Other / Unmapped,1,Airtasker,1
Fitted Bedrooms / Wardrobes,Other / Unmapped,1,Rated People,1
Fitted Wardrobes,Other / Unmapped,1,Checkatrade,1
Fixed Lines,Other / Unmapped,1,Checkatrade,1
Flat Ceilings,Other / Unmapped,1,Checkatrade,1
Flat Clearance,Other / Unmapped,1,Airtasker,1
Flat Management,Other / Unmapped,1,Checkatrade,1
Flatpack wardrobe setup,Other / Unmapped,1,Checkatrade,1
Flea Exterminator,Other / Unmapped,1,Airtasker,1
Flood Restoration,Other / Unmapped,1,Checkatrade,1
Florist,Other / Unmapped,1,Airtasker,1
Florists,Other / Unmapped,1,Yell,1
Flower & Balloon Delivery,Other / Unmapped,1,Airtasker,1
Flower Arrangements,Other / Unmapped,1,Airtasker,1
Flower Delivery,Other / Unmapped,1,Airtasker,1
Flower Wall,Other / Unmapped,1,Airtasker,1
Flyer Design,Other / Unmapped,1,Airtasker,1
Flyscreen Installation,Other / Unmapped,1,Airtasker,1
Food Delivery,Other / Unmapped,1,Airtasker,1
Food Waste Disposal,Other / Unmapped,1,Airtasker,1
For tradespeople,Other / Unmapped,1,Rated People,1
Ford Service,Other / Unmapped,1,Airtasker,1
Foundations,Other / Unmapped,1,Checkatrade,1
Freesat,Other / Unmapped,1,Checkatrade,1
Freeview,Other / Unmapped,1,Checkatrade,1
Freezer Installation,Other / Unmapped,1,Airtasker,1
Freezer Repair,Other / Unmapped,1,Airtasker,1
French Baker,Other / Unmapped,1,Airtasker,1
French Polisher,Other / Unmapped,1,Checkatrade,1
French Polishing,Other / Unmapped,1,Airtasker,1
Fresh Food Delivery,Other / Unmapped,1,Airtasker,1
Fridge / Freezer Repair,Other / Unmapped,1,Checkatrade,1
Fruit Delivery,Other / Unmapped,1,Airtasker,1
Fuel Injection Repair,Other / Unmapped,1,Airtasker,1
Fuel Pump Replacement,Other / Unmapped,1,Airtasker,1
Full English Breakfast Delivery,Other / Unmapped,1,Airtasker,1
Fumigation,Other / Unmapped,1,Checkatrade,1
Furniture Delivery,Other / Unmapped,1,Airtasker,1
Furniture Makers,Other / Unmapped,1,Airtasker,1
Furniture Shops,Other / Unmapped,1,Yell,1
Fuseboard / Consumer Unit Installation,Other / Unmapped,1,Checkatrade,1
Fuseboard / Consumer Unit Repair,Other / Unmapped,1,Checkatrade,1
GHD Repair,Other / Unmapped,1,Airtasker,1
Garage / Vehicle Services,Other / Unmapped,1,Checkatrade,1
Garage Clearance,Other / Unmapped,1,Airtasker,1
Garage Conversion Specialists,Other / Unmapped,1,Checkatrade,1
Garage Conversions,Other / Unmapped,1,Checkatrade,1
Garage services,Other / Unmapped,1,Yell,1
Gas Burner Repair,Other / Unmapped,1,Airtasker,1
Gas Cooker / Hob - Installation,Other / Unmapped,1,Rated People,1
Gas Cooker / Hob - Repair,Other / Unmapped,1,Rated People,1
Gas Cooker Disposal,Other / Unmapped,1,Checkatrade,1
Gas Cooker Installation,Other / Unmapped,1,Checkatrade,1
Gas Cooker Repair,Other / Unmapped,1,Checkatrade,1
Gas Fire,Other / Unmapped,1,Rated People,1
Gas Fire Installation,Other / Unmapped,1,Checkatrade,1
Gas Fire Servicing / Repair,Other / Unmapped,1,Checkatrade,1
Gas Fitters,Other / Unmapped,1,Airtasker,1
Gas Hob Repair,Other / Unmapped,1,Airtasker,1
Gas Safety Checks - CP12,Other / Unmapped,1,Checkatrade,1
Gas Services,Home & Trades,1,Yell,1
Gas Stove Installation & Repair,Other / Unmapped,1,Airtasker,1
Gate Automation,Other / Unmapped,1,Checkatrade,1
Gates,Other / Unmapped,1,Checkatrade,1
Gateshead,Other / Unmapped,1,MyJobQuote,1
Gazebo Installation & Repair,Other / Unmapped,1,Airtasker,1
Gearbox,Other / Unmapped,1,Checkatrade,1
Gearbox Repair,Other / Unmapped,1,Airtasker,1
General Accounting,Other / Unmapped,1,Bark,1
General Contractors,Other / Unmapped,1,Airtasker,1
General Fitted Furniture,Other / Unmapped,1,Rated People,1
General Labour,Other / Unmapped,1,Airtasker,1
Generator Repair,Other / Unmapped,1,Airtasker,1
Get it on Google Play,Other / Unmapped,1,Rated People,1
Ghostwriting,Other / Unmapped,1,Airtasker,1
Gift Basket Delivery,Other / Unmapped,1,Airtasker,1
Gift Delivery,Other / Unmapped,1,Airtasker,1
Gift Wrapping,Other / Unmapped,1,Airtasker,1
Glasgow Area,Other / Unmapped,1,Treatwell,1
Glass,Other / Unmapped,1,Checkatrade,1
Glass Balustrades,Other / Unmapped,1,Checkatrade,1
Glass Cutting,Other / Unmapped,1,Airtasker,1
Glass Polishing,Other / Unmapped,1,Checkatrade,1
Glass Replacement,Other / Unmapped,1,Checkatrade,1
Glass Restoration,Other / Unmapped,1,Checkatrade,1
Glass Surface Repair,Other / Unmapped,1,Checkatrade,1
Gloucester,Other / Unmapped,1,MyJobQuote,1
Gloucestershire,Other / Unmapped,1,Rated People,1
Glow Plug Replacement,Other / Unmapped,1,Airtasker,1
Gluten Free Baker,Other / Unmapped,1,Airtasker,1
Gluten Free Cake Delivery,Other / Unmapped,1,Airtasker,1
Gluten Free Takeaway,Other / Unmapped,1,Airtasker,1
Golf / Bowls Greens,Other / Unmapped,1,Checkatrade,1
Google Analytics,Other / Unmapped,1,Airtasker,1
Grab hire,Other / Unmapped,1,Checkatrade,1
Graphic Designer,Other / Unmapped,1,Airtasker,1
Graphic Designers,Other / Unmapped,1,Checkatrade,1
Grass Cutting,Other / Unmapped,1,Checkatrade,1
Gravestone Renovation,Other / Unmapped,1,Checkatrade,1
Greek Baker,Other / Unmapped,1,Airtasker,1
Greek Takeaway,Other / Unmapped,1,Airtasker,1
Green Oak Framing,Other / Unmapped,1,Checkatrade,1
Green Waste Collection,Other / Unmapped,1,Airtasker,1
Greenhouse Installation,Other / Unmapped,1,Checkatrade,1
Greenhouse Supplier,Other / Unmapped,1,Checkatrade,1
Gritting,Other / Unmapped,1,Checkatrade,1
Grocery Delivery,Other / Unmapped,1,Airtasker,1
Ground Source Heat Pump Engineers,Other / Unmapped,1,Checkatrade,1
Ground Source Heat Pump Installation - GSHP,Other / Unmapped,1,Checkatrade,1
Ground Source Heat Pump Installers,Other / Unmapped,1,Checkatrade,1
Ground Source Heat Pump Repair,Other / Unmapped,1,Checkatrade,1
Ground Source Heat Pump Servicing,Other / Unmapped,1,Checkatrade,1
Ground Source Heat Pump Servicing / Repair - GSHP,Other / Unmapped,1,Checkatrade,1
Grounds Maintenance,Other / Unmapped,1,Checkatrade,1
Groundwork / Foundations,Other / Unmapped,1,Rated People,1
Groundworks,Other / Unmapped,1,Checkatrade,1
Gwent,Other / Unmapped,1,Rated People,1
Gwynedd,Other / Unmapped,1,Rated People,1
Gym Buddy,Other / Unmapped,1,Airtasker,1
HIIT Training,Other / Unmapped,1,Airtasker,1
HR Services,Other / Unmapped,1,Airtasker,1
Hair Braiding,Other / Unmapped,1,Airtasker,1
Halal Takeaway,Other / Unmapped,1,Airtasker,1
Hampshire,Other / Unmapped,1,Rated People,1
Hand Made Tiles,Other / Unmapped,1,Checkatrade,1
Handrails,Other / Unmapped,1,Checkatrade,1
Handyperson,Other / Unmapped,1,Rated People,1
Handypersons,Other / Unmapped,1,Rated People,1
Hardware Consultants / Technicians,Other / Unmapped,1,Checkatrade,1
Haulage,Other / Unmapped,1,Checkatrade,1
Head Gasket Repair,Other / Unmapped,1,Airtasker,1
Head Unit Installation,Other / Unmapped,1,Airtasker,1
Headlight Bulb Replacement,Other / Unmapped,1,Airtasker,1
Headphone Repair,Other / Unmapped,1,Airtasker,1
Healthy Takeaway,Other / Unmapped,1,Airtasker,1
Heart layers,Other / Unmapped,1,Treatwell,1
Heat Pump (Air source/ Ground Source),Other / Unmapped,1,Rated People,1
Heating & Cooling,Other / Unmapped,1,Airtasker,1
Heavy Lifting,Other / Unmapped,1,Airtasker,1
Hedging,Other / Unmapped,1,Airtasker,1
Help & FAQs,Other / Unmapped,1,Rated People,1
Herefordshire,Other / Unmapped,1,Rated People,1
Heritage Property Specialist,Other / Unmapped,1,Checkatrade,1
Hertfordshire,Other / Unmapped,1,Rated People,1
Hifi Repair,Other / Unmapped,1,Airtasker,1
Hire Services,Other / Unmapped,1,Checkatrade,1
Hive Heating Installers,Other / Unmapped,1,Checkatrade,1
Hob Installation,Other / Unmapped,1,Airtasker,1
Home & Domiciliary Care,Other / Unmapped,1,Bark,1
Home & Lifestyle,Other / Unmapped,1,Airtasker,1
Home Automation,Other / Unmapped,1,Checkatrade,1
Home Automation / Media,Other / Unmapped,1,Checkatrade,1
Home Bar Designers,Other / Unmapped,1,Airtasker,1
Home Care,Other / Unmapped,1,Airtasker,1
Home Chef,Other / Unmapped,1,Airtasker,1
Home Cinema,Other / Unmapped,1,Checkatrade,1
Home Cinema Design,Other / Unmapped,1,Airtasker,1
Home Cooking,Other / Unmapped,1,Airtasker,1
Home Improvements,Other / Unmapped,1,Rated People,1
Home Maintenance / Repair,Other / Unmapped,1,Rated People,1
Home Network Setup,Other / Unmapped,1,Airtasker,1
Home Networks,Other / Unmapped,1,Checkatrade,1
Home Offices,Other / Unmapped,1,Checkatrade,1
Home Organiser,Other / Unmapped,1,Airtasker,1
Home Services,Other / Unmapped,1,Booksy,1
Home Stagers,Other / Unmapped,1,Airtasker,1
Home Theatre,Other / Unmapped,1,Airtasker,1
HomeBuyer Report,Other / Unmapped,1,Checkatrade,1
Homeopathy,Other / Unmapped,1,Airtasker,1
Homeowner advice centre,Other / Unmapped,1,Rated People,1
Honda Service,Other / Unmapped,1,Airtasker,1
Hot Tub Installation,Other / Unmapped,1,Checkatrade,1
Hot Tub Installation / Repair,Other / Unmapped,1,Rated People,1
Hot Tub Maintenance,Other / Unmapped,1,Airtasker,1
Hot Tub Repair,Other / Unmapped,1,Airtasker,1
Hot Tub Servicing,Other / Unmapped,1,Checkatrade,1
Hot Tub Supplier,Other / Unmapped,1,Checkatrade,1
Hot Tub Wiring,Other / Unmapped,1,Checkatrade,1
Hot Water System Installation & Repair,Other / Unmapped,1,Airtasker,1
Hot Water Tank/Appliance Tank Thermostats,Other / Unmapped,1,Rated People,1
Hotels,Other / Unmapped,1,Yell,1
House Renovation,Other / Unmapped,1,Airtasker,1
House Sitters,Other / Unmapped,1,Airtasker,1
Household Waste Disposal,Other / Unmapped,1,Airtasker,1
Household Water Treatment,Other / Unmapped,1,Checkatrade,1
Housekeepers,Other / Unmapped,1,Airtasker,1
How to Get Started,Other / Unmapped,1,MyJobQuote,1
Huddersfield,Other / Unmapped,1,MyJobQuote,1
Hyundai Service,Other / Unmapped,1,Airtasker,1
IKEA Delivery,Other / Unmapped,1,Airtasker,1
IT Planning and Construction,Other / Unmapped,1,Checkatrade,1
IT Project Management,Other / Unmapped,1,Checkatrade,1
IT Support,Other / Unmapped,1,Airtasker,1
IT and Consultancy,Other / Unmapped,1,Checkatrade,1
Ice Cream Cake Delivery,Other / Unmapped,1,Airtasker,1
Ice Cream Delivery,Other / Unmapped,1,Airtasker,1
Ice Machine Repair & Installation,Other / Unmapped,1,Airtasker,1
Ignition Systems Repair,Other / Unmapped,1,Airtasker,1
Illustrators,Other / Unmapped,1,Airtasker,1
Immersion Heater Installation,Other / Unmapped,1,Checkatrade,1
Immersion Heater Repair,Other / Unmapped,1,Checkatrade,1
Indian Restaurants,Other / Unmapped,1,Yell,1
Indian Takeaway,Other / Unmapped,1,Airtasker,1
Inflated Helium Balloons Delivery,Other / Unmapped,1,Airtasker,1
Information Centre,Other / Unmapped,1,Checkatrade,1
Insect Screens,Other / Unmapped,1,Checkatrade,1
Inspiration centre,Other / Unmapped,1,Rated People,1
Insurance Claim Specialist,Other / Unmapped,1,Checkatrade,1
Integral Blinds,Other / Unmapped,1,Checkatrade,1
Intercom Entry Systems,Other / Unmapped,1,Checkatrade,1
Interior Wall Cladding,Other / Unmapped,1,Airtasker,1
Internet Help,Other / Unmapped,1,Airtasker,1
Internet Services,Other / Unmapped,1,Checkatrade,1
Inverness,Other / Unmapped,1,Rated People,1
Ipswich,Other / Unmapped,1,MyJobQuote,1
Ironing,Other / Unmapped,1,Checkatrade,1
Ironing Service,Other / Unmapped,1,Airtasker,1
Irrigation Repair,Other / Unmapped,1,Airtasker,1
Irrigation Systems,Other / Unmapped,1,Checkatrade,1
Isle of Wight,Other / Unmapped,1,Rated People,1
Italian Takeaway,Other / Unmapped,1,Airtasker,1
Jaguar Service,Other / Unmapped,1,Airtasker,1
Jamaican Takeaway,Other / Unmapped,1,Airtasker,1
Janitorial Services,Other / Unmapped,1,Airtasker,1
Japanese Baker,Other / Unmapped,1,Airtasker,1
Japanese Knotweed,Other / Unmapped,1,Checkatrade,1
Japanese Takeaway,Other / Unmapped,1,Airtasker,1
Java Developer,Other / Unmapped,1,Airtasker,1
Jeep Service,Other / Unmapped,1,Airtasker,1
Jelly pedi,Other / Unmapped,1,Treatwell,1
Jet / Power Washing,Other / Unmapped,1,Rated People,1
Jiu Jitsu Classes,Other / Unmapped,1,Airtasker,1
Jollibee Delivery,Other / Unmapped,1,Airtasker,1
Journalist,Other / Unmapped,1,Airtasker,1
Judo Classes,Other / Unmapped,1,Airtasker,1
Jugglers,Other / Unmapped,1,Airtasker,1
Juice Delivery,Other / Unmapped,1,Airtasker,1
K Rend,Other / Unmapped,1,Checkatrade,1
KFC Delivery,Other / Unmapped,1,Airtasker,1
Kebab Delivery,Other / Unmapped,1,Airtasker,1
Kent,Other / Unmapped,1,Rated People,1
Keto Baker,Other / Unmapped,1,Airtasker,1
Keto Meal Prep,Other / Unmapped,1,Airtasker,1
Kia Service,Other / Unmapped,1,Airtasker,1
Kickboxing Training,Other / Unmapped,1,Airtasker,1
Kincardineshire,Other / Unmapped,1,Rated People,1
Korean Takeaway,Other / Unmapped,1,Airtasker,1
Krispy Kreme Delivery,Other / Unmapped,1,Airtasker,1
LCD Screen Repair,Other / Unmapped,1,Airtasker,1
LED Lights Installation,Other / Unmapped,1,Airtasker,1
LG TV Repair & Setup,Other / Unmapped,1,Airtasker,1
LPG Engineer,Other / Unmapped,1,Airtasker,1
Lamp Repairs,Other / Unmapped,1,Airtasker,1
Lanarkshire,Other / Unmapped,1,Rated People,1
Lancashire,Other / Unmapped,1,Rated People,1
Land Appraisal,Other / Unmapped,1,Checkatrade,1
Land Clearing,Other / Unmapped,1,Airtasker,1
Land Rover Service,Other / Unmapped,1,Airtasker,1
Landlord Inventories,Other / Unmapped,1,Checkatrade,1
Landlord Inventories - Mid Tenancy Inspection,Other / Unmapped,1,Checkatrade,1
Landlord Inventories - Tenant Check In,Other / Unmapped,1,Checkatrade,1
Landlord Inventories - Tenant Check Out,Other / Unmapped,1,Checkatrade,1
Landlord Reports / Safety Checks,Other / Unmapped,1,Rated People,1
Landlord Services,Other / Unmapped,1,Checkatrade,1
Language Classes,Other / Unmapped,1,Bark,1
Laser Cutting Stainless Steel,Other / Unmapped,1,Checkatrade,1
Laundry,Other / Unmapped,1,Airtasker,1
Laundry Service,Other / Unmapped,1,Checkatrade,1
Laundry Services,Other / Unmapped,1,Airtasker,1
Leadworks Installation,Other / Unmapped,1,Checkatrade,1
Leadworks Repair,Other / Unmapped,1,Checkatrade,1
Leaftlet Distribution,Other / Unmapped,1,Airtasker,1
Leak Detection,Other / Unmapped,1,Airtasker,1
Leak Detection Companies,Other / Unmapped,1,Checkatrade,1
Leather Car Seat Restoration,Other / Unmapped,1,Airtasker,1
Leather Repair,Other / Unmapped,1,Checkatrade,1
Legionella Assessment,Other / Unmapped,1,Checkatrade,1
Legionella Control,Other / Unmapped,1,Checkatrade,1
Legionella Testing,Other / Unmapped,1,Checkatrade,1
Leicestershire,Other / Unmapped,1,Rated People,1
Letterbox Replacement,Other / Unmapped,1,Airtasker,1
Levelling,Other / Unmapped,1,Airtasker,1
Lexus Service,Other / Unmapped,1,Airtasker,1
Life Coach,Other / Unmapped,1,Airtasker,1
Light Installation,Other / Unmapped,1,Airtasker,1
Light Repair,Other / Unmapped,1,Airtasker,1
Lincolnshire,Other / Unmapped,1,Rated People,1
LinkedIn Profile Writing,Other / Unmapped,1,Airtasker,1
Liquid Screeding,Other / Unmapped,1,Checkatrade,1
Lived-in blonde,Other / Unmapped,1,Treatwell,1
Lock Fitting,Other / Unmapped,1,Checkatrade,1
Lock Fitting / Repair,Other / Unmapped,1,Rated People,1
Lock Replacement,Other / Unmapped,1,Airtasker,1
Loft Conversion Specialist,Other / Unmapped,1,Rated People,1
Loft Conversions,Other / Unmapped,1,Checkatrade,1
Loft Hatches,Other / Unmapped,1,Checkatrade,1
Loft Ladder Installation,Other / Unmapped,1,Airtasker,1
Loft Ladder Installer,Other / Unmapped,1,Checkatrade,1
