borough_code,borough,ons_industry_group,local_unit_count
E09000033,Westminster,05-39 : Production,1785
E09000033,Westminster,41-43 : Construction,3325
E09000033,Westminster,45 : Motor trades,160
E09000033,Westminster,46 : Wholesale,1910
E09000033,Westminster,47 : Retail,4650
E09000033,Westminster,49-53 : Transport & Storage (inc. postal),805
E09000033,Westminster,55-56 : Accommodation & food services,4155
E09000033,Westminster,58-63 : Information & communication,6455
E09000033,Westminster,64-66 : Finance & insurance,4795
E09000033,Westminster,68 : Property,5810
E09000033,Westminster,"69-75 : Professional, scientific & technical",12860
E09000033,Westminster,77-82 : Business administration & support services,6975
E09000033,Westminster,84 : Public administration & defence,265
E09000033,Westminster,85 : Education,835
E09000033,Westminster,86-88 : Health,2020
E09000033,Westminster,"90-99 : Arts, entertainment, recreation & other services",5495
