borough_code,borough,ons_industry_group,local_unit_count
E09000001,City of London,"69-75 : Professional, scientific & technical",8330
E09000001,City of London,77-82 : Business administration & support services,3520
E09000001,City of London,84 : Public administration & defence,35
E09000001,City of London,85 : Education,290
E09000001,City of London,86-88 : Health,415
E09000001,City of London,"90-99 : Arts, entertainment, recreation & other services",1095
E09000008,Croydon,"01-03 : Agriculture, forestry & fishing",20
E09000008,Croydon,05-39 : Production,445
E09000008,Croydon,41-43 : Construction,2420
E09000008,Croydon,45 : Motor trades,375
E09000008,Croydon,46 : Wholesale,550
E09000008,Croydon,47 : Retail,1605
E09000008,Croydon,49-53 : Transport & Storage (inc. postal),710
E09000008,Croydon,55-56 : Accommodation & food services,1110
E09000008,Croydon,58-63 : Information & communication,1485
E09000008,Croydon,64-66 : Finance & insurance,255
E09000008,Croydon,68 : Property,690
E09000008,Croydon,"69-75 : Professional, scientific & technical",2410
E09000008,Croydon,77-82 : Business administration & support services,1305
E09000008,Croydon,84 : Public administration & defence,65
E09000008,Croydon,85 : Education,400
E09000008,Croydon,86-88 : Health,1175
E09000008,Croydon,"90-99 : Arts, entertainment, recreation & other services",1180
E09000009,Ealing,"01-03 : Agriculture, forestry & fishing",15
E09000009,Ealing,05-39 : Production,765
E09000009,Ealing,41-43 : Construction,2745
E09000009,Ealing,45 : Motor trades,465
E09000009,Ealing,46 : Wholesale,1125
E09000009,Ealing,47 : Retail,2115
E09000009,Ealing,49-53 : Transport & Storage (inc. postal),955
E09000009,Ealing,55-56 : Accommodation & food services,1155
E09000009,Ealing,58-63 : Information & communication,1790
E09000009,Ealing,64-66 : Finance & insurance,220
E09000009,Ealing,68 : Property,1000
E09000009,Ealing,"69-75 : Professional, scientific & technical",2750
E09000009,Ealing,77-82 : Business administration & support services,1555
E09000009,Ealing,84 : Public administration & defence,20
E09000009,Ealing,85 : Education,425
E09000009,Ealing,86-88 : Health,925
E09000009,Ealing,"90-99 : Arts, entertainment, recreation & other services",1350
E09000010,Enfield,"01-03 : Agriculture, forestry & fishing",30
E09000010,Enfield,05-39 : Production,600
E09000010,Enfield,41-43 : Construction,2860
E09000010,Enfield,45 : Motor trades,415
E09000010,Enfield,46 : Wholesale,845
E09000010,Enfield,47 : Retail,1570
E09000010,Enfield,49-53 : Transport & Storage (inc. postal),760
E09000010,Enfield,55-56 : Accommodation & food services,970
E09000010,Enfield,58-63 : Information & communication,1150
