competitor,user_type,reviews
Bark,Customer,103
Bark,Service Provider / Business,158
Bark,Unknown,421
Checkatrade,Customer,117
Checkatrade,Service Provider / Business,66
Checkatrade,Unknown,419
Yell,Customer,8
Yell,Service Provider / Business,117
Yell,Unknown,167
Yelp,Customer,10
Yelp,Service Provider / Business,55
Yelp,Unknown,42
