platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
Rated People,Built-In Furniture,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,built-in furniture,rated people||built-in furniture,V2
Rated People,Burglar Repairs,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,burglar repairs,rated people||burglar repairs,V2
Rated People,"Burglar, Security & Intruder Alarm Installation",London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,burglar security and intruder alarm installation,rated people||burglar security and intruder alarm installation,V2
Rated People,Carbon Monoxide Alarms - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,carbon monoxide alarms - installation,rated people||carbon monoxide alarms - installation,V2
Rated People,Carpet Cleaning,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,carpet cleaning,rated people||carpet cleaning,V2
Rated People,Carpet Fitters,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,carpet fitters,rated people||carpet fitters,V2
Rated People,Cat Flap - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,cat flap - installation,rated people||cat flap - installation,V2
Rated People,Cavity Wall Insulation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,cavity wall insulation,rated people||cavity wall insulation,V2
Rated People,CCTV Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,cctv installation,rated people||cctv installation,V2
Rated People,Cellar & Basement Conversion,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,cellar and basement conversion,rated people||cellar and basement conversion,V2
Rated People,Chimney Building / Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,chimney building repair,rated people||chimney building repair,V2
Rated People,Cladding,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,cladding,rated people||cladding,V2
Rated People,Commercial Pest Control,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,commercial pest control,rated people||commercial pest control,V2
Rated People,Commercial Window Cleaning,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,commercial window cleaning,rated people||commercial window cleaning,V2
Rated People,Complete Bathroom Refurbishment,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,complete bathroom refurbishment,rated people||complete bathroom refurbishment,V2
Rated People,Complete Kitchen Refurbishment,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,complete kitchen refurbishment,rated people||complete kitchen refurbishment,V2
Rated People,Concrete Driveway,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,concrete driveway,rated people||concrete driveway,V2
Rated People,Conservatory,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,conservatory,rated people||conservatory,V2
Rated People,Conservatory Cleaning / Maintenance,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,conservatory cleaning maintenance,rated people||conservatory cleaning maintenance,V2
Rated People,Create a job,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,create a job,rated people||create a job,V2
Rated People,Crown Reduction,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,crown reduction,rated people||crown reduction,V2
Rated People,Crown Thinning,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,crown thinning,rated people||crown thinning,V2
Rated People,Damp Proofing,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,damp proofing,rated people||damp proofing,V2
Rated People,Decorative Cornicing / Plasterwork,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,decorative cornicing plasterwork,rated people||decorative cornicing plasterwork,V2
Rated People,Decorative Glazing,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,decorative glazing,rated people||decorative glazing,V2
Rated People,Decorative Ironmongery and Metalwork,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,decorative ironmongery and metalwork,rated people||decorative ironmongery and metalwork,V2
Rated People,Deep Cleaning - Commercial,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,deep cleaning - commercial,rated people||deep cleaning - commercial,V2
Rated People,Deep Cleaning - Domestic,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,deep cleaning - domestic,rated people||deep cleaning - domestic,V2
Rated People,Demolition,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,demolition,rated people||demolition,V2
Rated People,Digital Home Network,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,digital home network,rated people||digital home network,V2
Rated People,Disability Access Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,disability access installation,rated people||disability access installation,V2
Rated People,Disabled Access / Mobility Service,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,disabled access mobility service,rated people||disabled access mobility service,V2
Rated People,Domestic Appliance Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,domestic appliance repair,rated people||domestic appliance repair,V2
Rated People,Domestic House Cleaning: One Off,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,domestic house cleaning one off,rated people||domestic house cleaning one off,V2
Rated People,Domestic House Cleaning: Regular,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,domestic house cleaning regular,rated people||domestic house cleaning regular,V2
Rated People,Door / Window Painting,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,door window painting,rated people||door window painting,V2
Rated People,Door Opening,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,door opening,rated people||door opening,V2
Rated People,Door Replacement,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,door replacement,rated people||door replacement,V2
Rated People,Drains - Installation / Unblocking / Cleaning,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,drains - installation unblocking cleaning,rated people||drains - installation unblocking cleaning,V2
Rated People,Dry Lining & Plasterboard - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,dry lining and plasterboard - installation,rated people||dry lining and plasterboard - installation,V2
