platform,v1_count,v2_count,shared_count,v1_only_count,v2_only_count
Airtasker,1486,1488,1484,2,4
Bark,64,63,62,2,1
Booksy,18,17,17,1,0
Checkatrade,14,1656,0,14,1656
Fresha,15,15,14,1,1
MyBuilder,11,15,11,0,4
MyJobQuote,0,40,0,0,40
Rated People,261,366,225,36,141
Treatwell,33,10,10,23,0
Yell,58,0,0,58,0
