borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000029,Sutton,Agricultural & Rural Services,25,1,6,57.6
E09000032,Wandsworth,Agricultural & Rural Services,25,1,6,57.6
E09000008,Croydon,Agricultural & Rural Services,20,1,7,43.9
E09000015,Harrow,Agricultural & Rural Services,20,1,7,43.9
E09000024,Merton,Agricultural & Rural Services,20,1,7,43.9
E09000030,Tower Hamlets,Agricultural & Rural Services,20,1,7,43.9
E09000002,Barking and Dagenham,Agricultural & Rural Services,15,1,8,25.8
E09000009,Ealing,Agricultural & Rural Services,15,1,8,25.8
E09000014,Haringey,Agricultural & Rural Services,15,1,8,25.8
E09000021,Kingston upon Thames,Agricultural & Rural Services,15,1,8,25.8
E09000022,Lambeth,Agricultural & Rural Services,15,1,8,25.8
E09000023,Lewisham,Agricultural & Rural Services,15,1,8,25.8
E09000026,Redbridge,Agricultural & Rural Services,15,1,8,25.8
E09000031,Waltham Forest,Agricultural & Rural Services,15,1,8,25.8
E09000004,Bexley,Agricultural & Rural Services,10,1,9,7.6
E09000005,Brent,Agricultural & Rural Services,10,1,9,7.6
E09000011,Greenwich,Agricultural & Rural Services,10,1,9,7.6
E09000025,Newham,Agricultural & Rural Services,10,1,9,7.6
E09000003,Barnet,Air Conditioning & Ventilation,3795,1,1,100.0
E09000033,Westminster,Air Conditioning & Ventilation,3325,1,2,97.0
E09000016,Havering,Air Conditioning & Ventilation,3020,1,3,93.9
E09000010,Enfield,Air Conditioning & Ventilation,2860,1,4,90.9
E09000017,Hillingdon,Air Conditioning & Ventilation,2815,1,5,87.9
E09000009,Ealing,Air Conditioning & Ventilation,2745,1,6,84.8
E09000026,Redbridge,Air Conditioning & Ventilation,2735,1,7,81.8
E09000006,Bromley,Air Conditioning & Ventilation,2605,1,8,78.8
E09000015,Harrow,Air Conditioning & Ventilation,2550,1,9,75.8
E09000005,Brent,Air Conditioning & Ventilation,2475,1,10,72.7
E09000008,Croydon,Air Conditioning & Ventilation,2420,1,11,69.7
E09000025,Newham,Air Conditioning & Ventilation,2325,1,12,66.7
E09000031,Waltham Forest,Air Conditioning & Ventilation,2245,1,13,63.6
E09000004,Bexley,Air Conditioning & Ventilation,2125,1,14,60.6
E09000007,Camden,Air Conditioning & Ventilation,2090,1,15,57.6
E09000002,Barking and Dagenham,Air Conditioning & Ventilation,2055,1,16,54.5
E09000029,Sutton,Air Conditioning & Ventilation,1820,1,17,51.5
E09000018,Hounslow,Air Conditioning & Ventilation,1775,1,18,48.5
E09000012,Hackney,Air Conditioning & Ventilation,1730,1,19,45.5
E09000024,Merton,Air Conditioning & Ventilation,1675,1,20,42.4
E09000014,Haringey,Air Conditioning & Ventilation,1545,1,21,39.4
E09000019,Islington,Air Conditioning & Ventilation,1530,1,22,36.4
E09000011,Greenwich,Air Conditioning & Ventilation,1495,1,23,33.3
E09000032,Wandsworth,Air Conditioning & Ventilation,1205,1,24,30.3
E09000030,Tower Hamlets,Air Conditioning & Ventilation,1095,1,25,27.3
E09000022,Lambeth,Air Conditioning & Ventilation,1090,1,26,24.2
E09000023,Lewisham,Air Conditioning & Ventilation,1080,1,27,21.2
E09000021,Kingston upon Thames,Air Conditioning & Ventilation,1060,1,28,18.2
E09000028,Southwark,Air Conditioning & Ventilation,1050,1,29,15.2
E09000027,Richmond upon Thames,Air Conditioning & Ventilation,960,1,30,12.1
E09000001,City of London,Air Conditioning & Ventilation,905,1,31,9.1
E09000013,Hammersmith and Fulham,Air Conditioning & Ventilation,845,1,32,6.1
E09000020,Kensington and Chelsea,Air Conditioning & Ventilation,835,1,33,3.0
E09000033,Westminster,Appliance & Equipment Services,10145,2,1,100.0
E09000007,Camden,Appliance & Equipment Services,6795,2,2,97.0
E09000019,Islington,Appliance & Equipment Services,4265,2,3,93.9
E09000003,Barnet,Appliance & Equipment Services,4260,2,4,90.9
E09000012,Hackney,Appliance & Equipment Services,4195,2,5,87.9
E09000009,Ealing,Appliance & Equipment Services,3465,2,6,84.8
E09000030,Tower Hamlets,Appliance & Equipment Services,3310,2,7,81.8
E09000028,Southwark,Appliance & Equipment Services,3305,2,8,78.8
E09000020,Kensington and Chelsea,Appliance & Equipment Services,3270,2,9,75.8
E09000032,Wandsworth,Appliance & Equipment Services,3165,2,10,72.7
E09000025,Newham,Appliance & Equipment Services,3150,2,11,69.7
E09000005,Brent,Appliance & Equipment Services,3120,2,12,66.7
E09000014,Haringey,Appliance & Equipment Services,2880,2,13,63.6
E09000008,Croydon,Appliance & Equipment Services,2785,2,14,60.6
E09000022,Lambeth,Appliance & Equipment Services,2780,2,15,57.6
E09000010,Enfield,Appliance & Equipment Services,2730,2,16,54.5
E09000013,Hammersmith and Fulham,Appliance & Equipment Services,2710,2,17,51.5
E09000017,Hillingdon,Appliance & Equipment Services,2700,2,18,48.5
E09000006,Bromley,Appliance & Equipment Services,2670,2,19,45.5
E09000026,Redbridge,Appliance & Equipment Services,2520,2,20,42.4
E09000018,Hounslow,Appliance & Equipment Services,2515,2,21,39.4
E09000031,Waltham Forest,Appliance & Equipment Services,2385,2,22,36.4
E09000015,Harrow,Appliance & Equipment Services,2340,2,23,33.3
E09000027,Richmond upon Thames,Appliance & Equipment Services,2330,2,24,30.3
E09000023,Lewisham,Appliance & Equipment Services,2285,2,25,27.3
E09000011,Greenwich,Appliance & Equipment Services,2185,2,26,24.2
E09000001,City of London,Appliance & Equipment Services,1975,2,27,21.2
E09000024,Merton,Appliance & Equipment Services,1870,2,28,18.2
E09000016,Havering,Appliance & Equipment Services,1785,2,29,15.2
E09000021,Kingston upon Thames,Appliance & Equipment Services,1770,2,30,12.1
E09000004,Bexley,Appliance & Equipment Services,1445,2,31,9.1
E09000002,Barking and Dagenham,Appliance & Equipment Services,1405,2,32,6.1
E09000029,Sutton,Appliance & Equipment Services,1400,2,33,3.0
E09000033,Westminster,Appliance Repair,5495,1,1,100.0
E09000007,Camden,Appliance Repair,3760,1,2,97.0
E09000019,Islington,Appliance Repair,2150,1,3,93.9
E09000012,Hackney,Appliance Repair,2055,1,4,90.9
E09000003,Barnet,Appliance Repair,1825,1,5,87.9
E09000028,Southwark,Appliance Repair,1685,1,6,84.8
E09000032,Wandsworth,Appliance Repair,1575,1,7,81.8
E09000030,Tower Hamlets,Appliance Repair,1500,1,8,78.8
E09000022,Lambeth,Appliance Repair,1480,1,9,75.8
E09000014,Haringey,Appliance Repair,1450,1,10,72.7
E09000020,Kensington and Chelsea,Appliance Repair,1400,1,11,69.7
E09000009,Ealing,Appliance Repair,1350,1,12,66.7
E09000006,Bromley,Appliance Repair,1335,1,13,63.6
E09000013,Hammersmith and Fulham,Appliance Repair,1265,1,14,60.6
E09000027,Richmond upon Thames,Appliance Repair,1255,1,15,57.6
E09000005,Brent,Appliance Repair,1230,1,16,54.5
E09000008,Croydon,Appliance Repair,1180,1,17,51.5
E09000023,Lewisham,Appliance Repair,1175,1,18,48.5
E09000010,Enfield,Appliance Repair,1160,1,19,45.5
E09000001,City of London,Appliance Repair,1095,1,20,42.4
E09000031,Waltham Forest,Appliance Repair,1070,1,21,39.4
E09000011,Greenwich,Appliance Repair,980,1,22,36.4
E09000025,Newham,Appliance Repair,975,1,23,33.3
E09000018,Hounslow,Appliance Repair,965,1,24,30.3
E09000017,Hillingdon,Appliance Repair,950,1,25,27.3
E09000026,Redbridge,Appliance Repair,895,1,26,24.2
E09000015,Harrow,Appliance Repair,865,1,27,21.2
E09000024,Merton,Appliance Repair,825,1,28,18.2
E09000016,Havering,Appliance Repair,735,1,29,15.2
E09000021,Kingston upon Thames,Appliance Repair,670,1,30,12.1
E09000029,Sutton,Appliance Repair,620,1,31,9.1
E09000004,Bexley,Appliance Repair,615,1,32,6.1
E09000002,Barking and Dagenham,Appliance Repair,445,1,33,3.0
E09000033,Westminster,"Architecture, Surveying & Planning",12860,1,1,100.0
E09000007,Camden,"Architecture, Surveying & Planning",10995,1,2,97.0
E09000001,City of London,"Architecture, Surveying & Planning",8330,1,3,93.9
E09000012,Hackney,"Architecture, Surveying & Planning",6150,1,4,90.9
