borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000019,Islington,Commercial & Business Property Services,6860,2,6,84.8
E09000028,Southwark,Commercial & Business Property Services,4725,2,7,81.8
E09000032,Wandsworth,Commercial & Business Property Services,4660,2,8,78.8
E09000030,Tower Hamlets,Commercial & Business Property Services,4620,2,9,75.8
E09000020,Kensington and Chelsea,Commercial & Business Property Services,4255,2,10,72.7
E09000027,Richmond upon Thames,Commercial & Business Property Services,4010,2,11,69.7
E09000015,Harrow,Commercial & Business Property Services,3920,2,12,66.7
E09000009,Ealing,Commercial & Business Property Services,3750,2,13,63.6
E09000022,Lambeth,Commercial & Business Property Services,3665,2,14,60.6
E09000013,Hammersmith and Fulham,Commercial & Business Property Services,3600,2,15,57.6
E09000006,Bromley,Commercial & Business Property Services,3470,2,16,54.5
E09000026,Redbridge,Commercial & Business Property Services,3180,2,17,51.5
E09000014,Haringey,Commercial & Business Property Services,3125,2,18,48.5
E09000005,Brent,Commercial & Business Property Services,3100,2,19,43.9
E09000008,Croydon,Commercial & Business Property Services,3100,2,19,43.9
E09000010,Enfield,Commercial & Business Property Services,3035,2,20,39.4
E09000024,Merton,Commercial & Business Property Services,2740,2,21,36.4
E09000017,Hillingdon,Commercial & Business Property Services,2720,2,22,33.3
E09000018,Hounslow,Commercial & Business Property Services,2685,2,23,30.3
E09000031,Waltham Forest,Commercial & Business Property Services,2355,2,24,27.3
E09000025,Newham,Commercial & Business Property Services,2315,2,25,24.2
E09000023,Lewisham,Commercial & Business Property Services,2175,2,26,21.2
E09000021,Kingston upon Thames,Commercial & Business Property Services,2130,2,27,18.2
E09000011,Greenwich,Commercial & Business Property Services,2065,2,28,15.2
E09000016,Havering,Commercial & Business Property Services,1680,2,29,12.1
E09000029,Sutton,Commercial & Business Property Services,1580,2,30,9.1
E09000004,Bexley,Commercial & Business Property Services,1440,2,31,6.1
E09000002,Barking and Dagenham,Commercial & Business Property Services,1010,2,32,3.0
E09000003,Barnet,Concrete & Aggregate Services,3795,1,1,100.0
E09000033,Westminster,Concrete & Aggregate Services,3325,1,2,97.0
E09000016,Havering,Concrete & Aggregate Services,3020,1,3,93.9
E09000010,Enfield,Concrete & Aggregate Services,2860,1,4,90.9
E09000017,Hillingdon,Concrete & Aggregate Services,2815,1,5,87.9
E09000009,Ealing,Concrete & Aggregate Services,2745,1,6,84.8
E09000026,Redbridge,Concrete & Aggregate Services,2735,1,7,81.8
E09000006,Bromley,Concrete & Aggregate Services,2605,1,8,78.8
E09000015,Harrow,Concrete & Aggregate Services,2550,1,9,75.8
E09000005,Brent,Concrete & Aggregate Services,2475,1,10,72.7
E09000008,Croydon,Concrete & Aggregate Services,2420,1,11,69.7
E09000025,Newham,Concrete & Aggregate Services,2325,1,12,66.7
E09000031,Waltham Forest,Concrete & Aggregate Services,2245,1,13,63.6
E09000004,Bexley,Concrete & Aggregate Services,2125,1,14,60.6
E09000007,Camden,Concrete & Aggregate Services,2090,1,15,57.6
E09000002,Barking and Dagenham,Concrete & Aggregate Services,2055,1,16,54.5
E09000029,Sutton,Concrete & Aggregate Services,1820,1,17,51.5
E09000018,Hounslow,Concrete & Aggregate Services,1775,1,18,48.5
E09000012,Hackney,Concrete & Aggregate Services,1730,1,19,45.5
E09000024,Merton,Concrete & Aggregate Services,1675,1,20,42.4
E09000014,Haringey,Concrete & Aggregate Services,1545,1,21,39.4
E09000019,Islington,Concrete & Aggregate Services,1530,1,22,36.4
E09000011,Greenwich,Concrete & Aggregate Services,1495,1,23,33.3
E09000032,Wandsworth,Concrete & Aggregate Services,1205,1,24,30.3
E09000030,Tower Hamlets,Concrete & Aggregate Services,1095,1,25,27.3
E09000022,Lambeth,Concrete & Aggregate Services,1090,1,26,24.2
E09000023,Lewisham,Concrete & Aggregate Services,1080,1,27,21.2
E09000021,Kingston upon Thames,Concrete & Aggregate Services,1060,1,28,18.2
E09000028,Southwark,Concrete & Aggregate Services,1050,1,29,15.2
E09000027,Richmond upon Thames,Concrete & Aggregate Services,960,1,30,12.1
E09000001,City of London,Concrete & Aggregate Services,905,1,31,9.1
E09000013,Hammersmith and Fulham,Concrete & Aggregate Services,845,1,32,6.1
E09000020,Kensington and Chelsea,Concrete & Aggregate Services,835,1,33,3.0
E09000003,Barnet,Conservatory Services,3795,1,1,100.0
E09000033,Westminster,Conservatory Services,3325,1,2,97.0
E09000016,Havering,Conservatory Services,3020,1,3,93.9
E09000010,Enfield,Conservatory Services,2860,1,4,90.9
E09000017,Hillingdon,Conservatory Services,2815,1,5,87.9
E09000009,Ealing,Conservatory Services,2745,1,6,84.8
E09000026,Redbridge,Conservatory Services,2735,1,7,81.8
E09000006,Bromley,Conservatory Services,2605,1,8,78.8
E09000015,Harrow,Conservatory Services,2550,1,9,75.8
E09000005,Brent,Conservatory Services,2475,1,10,72.7
E09000008,Croydon,Conservatory Services,2420,1,11,69.7
E09000025,Newham,Conservatory Services,2325,1,12,66.7
E09000031,Waltham Forest,Conservatory Services,2245,1,13,63.6
E09000004,Bexley,Conservatory Services,2125,1,14,60.6
E09000007,Camden,Conservatory Services,2090,1,15,57.6
E09000002,Barking and Dagenham,Conservatory Services,2055,1,16,54.5
E09000029,Sutton,Conservatory Services,1820,1,17,51.5
E09000018,Hounslow,Conservatory Services,1775,1,18,48.5
E09000012,Hackney,Conservatory Services,1730,1,19,45.5
E09000024,Merton,Conservatory Services,1675,1,20,42.4
E09000014,Haringey,Conservatory Services,1545,1,21,39.4
E09000019,Islington,Conservatory Services,1530,1,22,36.4
E09000011,Greenwich,Conservatory Services,1495,1,23,33.3
E09000032,Wandsworth,Conservatory Services,1205,1,24,30.3
E09000030,Tower Hamlets,Conservatory Services,1095,1,25,27.3
E09000022,Lambeth,Conservatory Services,1090,1,26,24.2
E09000023,Lewisham,Conservatory Services,1080,1,27,21.2
E09000021,Kingston upon Thames,Conservatory Services,1060,1,28,18.2
E09000028,Southwark,Conservatory Services,1050,1,29,15.2
E09000027,Richmond upon Thames,Conservatory Services,960,1,30,12.1
E09000001,City of London,Conservatory Services,905,1,31,9.1
E09000013,Hammersmith and Fulham,Conservatory Services,845,1,32,6.1
E09000020,Kensington and Chelsea,Conservatory Services,835,1,33,3.0
E09000003,Barnet,"Curtains, Awnings & Window Dressings",3795,1,1,100.0
E09000033,Westminster,"Curtains, Awnings & Window Dressings",3325,1,2,97.0
E09000016,Havering,"Curtains, Awnings & Window Dressings",3020,1,3,93.9
E09000010,Enfield,"Curtains, Awnings & Window Dressings",2860,1,4,90.9
E09000017,Hillingdon,"Curtains, Awnings & Window Dressings",2815,1,5,87.9
E09000009,Ealing,"Curtains, Awnings & Window Dressings",2745,1,6,84.8
E09000026,Redbridge,"Curtains, Awnings & Window Dressings",2735,1,7,81.8
E09000006,Bromley,"Curtains, Awnings & Window Dressings",2605,1,8,78.8
E09000015,Harrow,"Curtains, Awnings & Window Dressings",2550,1,9,75.8
E09000005,Brent,"Curtains, Awnings & Window Dressings",2475,1,10,72.7
E09000008,Croydon,"Curtains, Awnings & Window Dressings",2420,1,11,69.7
E09000025,Newham,"Curtains, Awnings & Window Dressings",2325,1,12,66.7
E09000031,Waltham Forest,"Curtains, Awnings & Window Dressings",2245,1,13,63.6
E09000004,Bexley,"Curtains, Awnings & Window Dressings",2125,1,14,60.6
E09000007,Camden,"Curtains, Awnings & Window Dressings",2090,1,15,57.6
E09000002,Barking and Dagenham,"Curtains, Awnings & Window Dressings",2055,1,16,54.5
E09000029,Sutton,"Curtains, Awnings & Window Dressings",1820,1,17,51.5
E09000018,Hounslow,"Curtains, Awnings & Window Dressings",1775,1,18,48.5
E09000012,Hackney,"Curtains, Awnings & Window Dressings",1730,1,19,45.5
E09000024,Merton,"Curtains, Awnings & Window Dressings",1675,1,20,42.4
E09000014,Haringey,"Curtains, Awnings & Window Dressings",1545,1,21,39.4
E09000019,Islington,"Curtains, Awnings & Window Dressings",1530,1,22,36.4
E09000011,Greenwich,"Curtains, Awnings & Window Dressings",1495,1,23,33.3
E09000032,Wandsworth,"Curtains, Awnings & Window Dressings",1205,1,24,30.3
E09000030,Tower Hamlets,"Curtains, Awnings & Window Dressings",1095,1,25,27.3
E09000022,Lambeth,"Curtains, Awnings & Window Dressings",1090,1,26,24.2
E09000023,Lewisham,"Curtains, Awnings & Window Dressings",1080,1,27,21.2
E09000021,Kingston upon Thames,"Curtains, Awnings & Window Dressings",1060,1,28,18.2
E09000028,Southwark,"Curtains, Awnings & Window Dressings",1050,1,29,15.2
E09000027,Richmond upon Thames,"Curtains, Awnings & Window Dressings",960,1,30,12.1
E09000001,City of London,"Curtains, Awnings & Window Dressings",905,1,31,9.1
E09000013,Hammersmith and Fulham,"Curtains, Awnings & Window Dressings",845,1,32,6.1
E09000020,Kensington and Chelsea,"Curtains, Awnings & Window Dressings",835,1,33,3.0
E09000003,Barnet,"Damp, Waterproofing & Restoration",3795,1,1,100.0
E09000033,Westminster,"Damp, Waterproofing & Restoration",3325,1,2,97.0
E09000016,Havering,"Damp, Waterproofing & Restoration",3020,1,3,93.9
E09000010,Enfield,"Damp, Waterproofing & Restoration",2860,1,4,90.9
E09000017,Hillingdon,"Damp, Waterproofing & Restoration",2815,1,5,87.9
E09000009,Ealing,"Damp, Waterproofing & Restoration",2745,1,6,84.8
E09000026,Redbridge,"Damp, Waterproofing & Restoration",2735,1,7,81.8
E09000006,Bromley,"Damp, Waterproofing & Restoration",2605,1,8,78.8
E09000015,Harrow,"Damp, Waterproofing & Restoration",2550,1,9,75.8
E09000005,Brent,"Damp, Waterproofing & Restoration",2475,1,10,72.7
E09000008,Croydon,"Damp, Waterproofing & Restoration",2420,1,11,69.7
E09000025,Newham,"Damp, Waterproofing & Restoration",2325,1,12,66.7
E09000031,Waltham Forest,"Damp, Waterproofing & Restoration",2245,1,13,63.6
E09000004,Bexley,"Damp, Waterproofing & Restoration",2125,1,14,60.6
E09000007,Camden,"Damp, Waterproofing & Restoration",2090,1,15,57.6
E09000002,Barking and Dagenham,"Damp, Waterproofing & Restoration",2055,1,16,54.5
E09000029,Sutton,"Damp, Waterproofing & Restoration",1820,1,17,51.5
E09000018,Hounslow,"Damp, Waterproofing & Restoration",1775,1,18,48.5
E09000012,Hackney,"Damp, Waterproofing & Restoration",1730,1,19,45.5
E09000024,Merton,"Damp, Waterproofing & Restoration",1675,1,20,42.4
E09000014,Haringey,"Damp, Waterproofing & Restoration",1545,1,21,39.4
E09000019,Islington,"Damp, Waterproofing & Restoration",1530,1,22,36.4
E09000011,Greenwich,"Damp, Waterproofing & Restoration",1495,1,23,33.3
E09000032,Wandsworth,"Damp, Waterproofing & Restoration",1205,1,24,30.3
E09000030,Tower Hamlets,"Damp, Waterproofing & Restoration",1095,1,25,27.3
E09000022,Lambeth,"Damp, Waterproofing & Restoration",1090,1,26,24.2
E09000023,Lewisham,"Damp, Waterproofing & Restoration",1080,1,27,21.2
E09000021,Kingston upon Thames,"Damp, Waterproofing & Restoration",1060,1,28,18.2
E09000028,Southwark,"Damp, Waterproofing & Restoration",1050,1,29,15.2
E09000027,Richmond upon Thames,"Damp, Waterproofing & Restoration",960,1,30,12.1
E09000001,City of London,"Damp, Waterproofing & Restoration",905,1,31,9.1
E09000013,Hammersmith and Fulham,"Damp, Waterproofing & Restoration",845,1,32,6.1
E09000020,Kensington and Chelsea,"Damp, Waterproofing & Restoration",835,1,33,3.0
E09000003,Barnet,Decking Services,3795,1,1,100.0
E09000033,Westminster,Decking Services,3325,1,2,97.0
E09000016,Havering,Decking Services,3020,1,3,93.9
E09000010,Enfield,Decking Services,2860,1,4,90.9
E09000017,Hillingdon,Decking Services,2815,1,5,87.9
E09000009,Ealing,Decking Services,2745,1,6,84.8
E09000026,Redbridge,Decking Services,2735,1,7,81.8
E09000006,Bromley,Decking Services,2605,1,8,78.8
E09000015,Harrow,Decking Services,2550,1,9,75.8
E09000005,Brent,Decking Services,2475,1,10,72.7
E09000008,Croydon,Decking Services,2420,1,11,69.7
E09000025,Newham,Decking Services,2325,1,12,66.7
E09000031,Waltham Forest,Decking Services,2245,1,13,63.6
E09000004,Bexley,Decking Services,2125,1,14,60.6
E09000007,Camden,Decking Services,2090,1,15,57.6
E09000002,Barking and Dagenham,Decking Services,2055,1,16,54.5
E09000029,Sutton,Decking Services,1820,1,17,51.5
E09000018,Hounslow,Decking Services,1775,1,18,48.5
E09000012,Hackney,Decking Services,1730,1,19,45.5
E09000024,Merton,Decking Services,1675,1,20,42.4
E09000014,Haringey,Decking Services,1545,1,21,39.4
E09000019,Islington,Decking Services,1530,1,22,36.4
E09000011,Greenwich,Decking Services,1495,1,23,33.3
E09000032,Wandsworth,Decking Services,1205,1,24,30.3
E09000030,Tower Hamlets,Decking Services,1095,1,25,27.3
E09000022,Lambeth,Decking Services,1090,1,26,24.2
E09000023,Lewisham,Decking Services,1080,1,27,21.2
E09000021,Kingston upon Thames,Decking Services,1060,1,28,18.2
E09000028,Southwark,Decking Services,1050,1,29,15.2
E09000027,Richmond upon Thames,Decking Services,960,1,30,12.1
E09000001,City of London,Decking Services,905,1,31,9.1
E09000013,Hammersmith and Fulham,Decking Services,845,1,32,6.1
E09000020,Kensington and Chelsea,Decking Services,835,1,33,3.0
E09000017,Hillingdon,Delivery Services,1330,1,1,100.0
E09000018,Hounslow,Delivery Services,1055,1,2,97.0
E09000009,Ealing,Delivery Services,955,1,3,93.9
E09000005,Brent,Delivery Services,895,1,4,90.9
E09000025,Newham,Delivery Services,845,1,5,87.9
E09000007,Camden,Delivery Services,825,1,6,84.8
E09000033,Westminster,Delivery Services,805,1,7,81.8
E09000010,Enfield,Delivery Services,760,1,8,78.8
E09000026,Redbridge,Delivery Services,725,1,9,75.8
E09000002,Barking and Dagenham,Delivery Services,715,1,10,72.7
E09000003,Barnet,Delivery Services,710,1,11,68.2
E09000008,Croydon,Delivery Services,710,1,11,68.2
E09000015,Harrow,Delivery Services,630,1,12,63.6
E09000024,Merton,Delivery Services,615,1,13,60.6
E09000016,Havering,Delivery Services,610,1,14,57.6
E09000031,Waltham Forest,Delivery Services,565,1,15,54.5
E09000030,Tower Hamlets,Delivery Services,510,1,16,51.5
E09000012,Hackney,Delivery Services,490,1,17,48.5
E09000004,Bexley,Delivery Services,480,1,18,45.5
E09000019,Islington,Delivery Services,470,1,19,42.4
E09000011,Greenwich,Delivery Services,445,1,20,39.4
E09000014,Haringey,Delivery Services,405,1,21,36.4
E09000028,Southwark,Delivery Services,390,1,22,33.3
E09000006,Bromley,Delivery Services,380,1,23,30.3
E09000023,Lewisham,Delivery Services,375,1,24,27.3
E09000022,Lambeth,Delivery Services,365,1,25,24.2
E09000032,Wandsworth,Delivery Services,355,1,26,21.2
E09000029,Sutton,Delivery Services,300,1,27,18.2
E09000013,Hammersmith and Fulham,Delivery Services,260,1,28,15.2
E09000001,City of London,Delivery Services,250,1,29,10.6
E09000021,Kingston upon Thames,Delivery Services,250,1,29,10.6
E09000027,Richmond upon Thames,Delivery Services,230,1,30,6.1
E09000020,Kensington and Chelsea,Delivery Services,180,1,31,3.0
E09000003,Barnet,Doors & Door Services,3795,1,1,100.0
E09000033,Westminster,Doors & Door Services,3325,1,2,97.0
E09000016,Havering,Doors & Door Services,3020,1,3,93.9
E09000010,Enfield,Doors & Door Services,2860,1,4,90.9
E09000017,Hillingdon,Doors & Door Services,2815,1,5,87.9
E09000009,Ealing,Doors & Door Services,2745,1,6,84.8
E09000026,Redbridge,Doors & Door Services,2735,1,7,81.8
E09000006,Bromley,Doors & Door Services,2605,1,8,78.8
E09000015,Harrow,Doors & Door Services,2550,1,9,75.8
E09000005,Brent,Doors & Door Services,2475,1,10,72.7
E09000008,Croydon,Doors & Door Services,2420,1,11,69.7
E09000025,Newham,Doors & Door Services,2325,1,12,66.7
E09000031,Waltham Forest,Doors & Door Services,2245,1,13,63.6
E09000004,Bexley,Doors & Door Services,2125,1,14,60.6
E09000007,Camden,Doors & Door Services,2090,1,15,57.6
E09000002,Barking and Dagenham,Doors & Door Services,2055,1,16,54.5
E09000029,Sutton,Doors & Door Services,1820,1,17,51.5
E09000018,Hounslow,Doors & Door Services,1775,1,18,48.5
E09000012,Hackney,Doors & Door Services,1730,1,19,45.5
E09000024,Merton,Doors & Door Services,1675,1,20,42.4
E09000014,Haringey,Doors & Door Services,1545,1,21,39.4
E09000019,Islington,Doors & Door Services,1530,1,22,36.4
E09000011,Greenwich,Doors & Door Services,1495,1,23,33.3
E09000032,Wandsworth,Doors & Door Services,1205,1,24,30.3
E09000030,Tower Hamlets,Doors & Door Services,1095,1,25,27.3
E09000022,Lambeth,Doors & Door Services,1090,1,26,24.2
E09000023,Lewisham,Doors & Door Services,1080,1,27,21.2
E09000021,Kingston upon Thames,Doors & Door Services,1060,1,28,18.2
E09000028,Southwark,Doors & Door Services,1050,1,29,15.2
E09000027,Richmond upon Thames,Doors & Door Services,960,1,30,12.1
E09000001,City of London,Doors & Door Services,905,1,31,9.1
E09000013,Hammersmith and Fulham,Doors & Door Services,845,1,32,6.1
E09000020,Kensington and Chelsea,Doors & Door Services,835,1,33,3.0
E09000003,Barnet,"Doors, Windows & Glazing",3795,1,1,100.0
E09000033,Westminster,"Doors, Windows & Glazing",3325,1,2,97.0
E09000016,Havering,"Doors, Windows & Glazing",3020,1,3,93.9
E09000010,Enfield,"Doors, Windows & Glazing",2860,1,4,90.9
E09000017,Hillingdon,"Doors, Windows & Glazing",2815,1,5,87.9
E09000009,Ealing,"Doors, Windows & Glazing",2745,1,6,84.8
E09000026,Redbridge,"Doors, Windows & Glazing",2735,1,7,81.8
E09000006,Bromley,"Doors, Windows & Glazing",2605,1,8,78.8
E09000015,Harrow,"Doors, Windows & Glazing",2550,1,9,75.8
E09000005,Brent,"Doors, Windows & Glazing",2475,1,10,72.7
E09000008,Croydon,"Doors, Windows & Glazing",2420,1,11,69.7
E09000025,Newham,"Doors, Windows & Glazing",2325,1,12,66.7
E09000031,Waltham Forest,"Doors, Windows & Glazing",2245,1,13,63.6
E09000004,Bexley,"Doors, Windows & Glazing",2125,1,14,60.6
E09000007,Camden,"Doors, Windows & Glazing",2090,1,15,57.6
E09000002,Barking and Dagenham,"Doors, Windows & Glazing",2055,1,16,54.5
E09000029,Sutton,"Doors, Windows & Glazing",1820,1,17,51.5
E09000018,Hounslow,"Doors, Windows & Glazing",1775,1,18,48.5
E09000012,Hackney,"Doors, Windows & Glazing",1730,1,19,45.5
E09000024,Merton,"Doors, Windows & Glazing",1675,1,20,42.4
E09000014,Haringey,"Doors, Windows & Glazing",1545,1,21,39.4
E09000019,Islington,"Doors, Windows & Glazing",1530,1,22,36.4
E09000011,Greenwich,"Doors, Windows & Glazing",1495,1,23,33.3
E09000032,Wandsworth,"Doors, Windows & Glazing",1205,1,24,30.3
E09000030,Tower Hamlets,"Doors, Windows & Glazing",1095,1,25,27.3
E09000022,Lambeth,"Doors, Windows & Glazing",1090,1,26,24.2
E09000023,Lewisham,"Doors, Windows & Glazing",1080,1,27,21.2
E09000021,Kingston upon Thames,"Doors, Windows & Glazing",1060,1,28,18.2
E09000028,Southwark,"Doors, Windows & Glazing",1050,1,29,15.2
E09000027,Richmond upon Thames,"Doors, Windows & Glazing",960,1,30,12.1
E09000001,City of London,"Doors, Windows & Glazing",905,1,31,9.1
E09000013,Hammersmith and Fulham,"Doors, Windows & Glazing",845,1,32,6.1
E09000020,Kensington and Chelsea,"Doors, Windows & Glazing",835,1,33,3.0
E09000033,Westminster,Driveways & Paving,5495,1,1,100.0
E09000007,Camden,Driveways & Paving,3760,1,2,97.0
E09000019,Islington,Driveways & Paving,2150,1,3,93.9
E09000012,Hackney,Driveways & Paving,2055,1,4,90.9
E09000003,Barnet,Driveways & Paving,1825,1,5,87.9
E09000028,Southwark,Driveways & Paving,1685,1,6,84.8
E09000032,Wandsworth,Driveways & Paving,1575,1,7,81.8
E09000030,Tower Hamlets,Driveways & Paving,1500,1,8,78.8
E09000022,Lambeth,Driveways & Paving,1480,1,9,75.8
E09000014,Haringey,Driveways & Paving,1450,1,10,72.7
E09000020,Kensington and Chelsea,Driveways & Paving,1400,1,11,69.7
E09000009,Ealing,Driveways & Paving,1350,1,12,66.7
E09000006,Bromley,Driveways & Paving,1335,1,13,63.6
E09000013,Hammersmith and Fulham,Driveways & Paving,1265,1,14,60.6
E09000027,Richmond upon Thames,Driveways & Paving,1255,1,15,57.6
E09000005,Brent,Driveways & Paving,1230,1,16,54.5
E09000008,Croydon,Driveways & Paving,1180,1,17,51.5
E09000023,Lewisham,Driveways & Paving,1175,1,18,48.5
E09000010,Enfield,Driveways & Paving,1160,1,19,45.5
E09000001,City of London,Driveways & Paving,1095,1,20,42.4
E09000031,Waltham Forest,Driveways & Paving,1070,1,21,39.4
E09000011,Greenwich,Driveways & Paving,980,1,22,36.4
E09000025,Newham,Driveways & Paving,975,1,23,33.3
E09000018,Hounslow,Driveways & Paving,965,1,24,30.3
E09000017,Hillingdon,Driveways & Paving,950,1,25,27.3
E09000026,Redbridge,Driveways & Paving,895,1,26,24.2
E09000015,Harrow,Driveways & Paving,865,1,27,21.2
E09000024,Merton,Driveways & Paving,825,1,28,18.2
E09000016,Havering,Driveways & Paving,735,1,29,15.2
E09000021,Kingston upon Thames,Driveways & Paving,670,1,30,12.1
E09000029,Sutton,Driveways & Paving,620,1,31,9.1
E09000004,Bexley,Driveways & Paving,615,1,32,6.1
E09000002,Barking and Dagenham,Driveways & Paving,445,1,33,3.0
E09000003,Barnet,"Driveways, Paving & Surfacing",3795,1,1,100.0
E09000033,Westminster,"Driveways, Paving & Surfacing",3325,1,2,97.0
E09000016,Havering,"Driveways, Paving & Surfacing",3020,1,3,93.9
E09000010,Enfield,"Driveways, Paving & Surfacing",2860,1,4,90.9
E09000017,Hillingdon,"Driveways, Paving & Surfacing",2815,1,5,87.9
E09000009,Ealing,"Driveways, Paving & Surfacing",2745,1,6,84.8
E09000026,Redbridge,"Driveways, Paving & Surfacing",2735,1,7,81.8
E09000006,Bromley,"Driveways, Paving & Surfacing",2605,1,8,78.8
E09000015,Harrow,"Driveways, Paving & Surfacing",2550,1,9,75.8
E09000005,Brent,"Driveways, Paving & Surfacing",2475,1,10,72.7
E09000008,Croydon,"Driveways, Paving & Surfacing",2420,1,11,69.7
E09000025,Newham,"Driveways, Paving & Surfacing",2325,1,12,66.7
E09000031,Waltham Forest,"Driveways, Paving & Surfacing",2245,1,13,63.6
E09000004,Bexley,"Driveways, Paving & Surfacing",2125,1,14,60.6
E09000007,Camden,"Driveways, Paving & Surfacing",2090,1,15,57.6
E09000002,Barking and Dagenham,"Driveways, Paving & Surfacing",2055,1,16,54.5
E09000029,Sutton,"Driveways, Paving & Surfacing",1820,1,17,51.5
E09000018,Hounslow,"Driveways, Paving & Surfacing",1775,1,18,48.5
E09000012,Hackney,"Driveways, Paving & Surfacing",1730,1,19,45.5
E09000024,Merton,"Driveways, Paving & Surfacing",1675,1,20,42.4
E09000014,Haringey,"Driveways, Paving & Surfacing",1545,1,21,39.4
E09000019,Islington,"Driveways, Paving & Surfacing",1530,1,22,36.4
E09000011,Greenwich,"Driveways, Paving & Surfacing",1495,1,23,33.3
E09000032,Wandsworth,"Driveways, Paving & Surfacing",1205,1,24,30.3
E09000030,Tower Hamlets,"Driveways, Paving & Surfacing",1095,1,25,27.3
E09000022,Lambeth,"Driveways, Paving & Surfacing",1090,1,26,24.2
E09000023,Lewisham,"Driveways, Paving & Surfacing",1080,1,27,21.2
E09000021,Kingston upon Thames,"Driveways, Paving & Surfacing",1060,1,28,18.2
E09000028,Southwark,"Driveways, Paving & Surfacing",1050,1,29,15.2
E09000027,Richmond upon Thames,"Driveways, Paving & Surfacing",960,1,30,12.1
E09000001,City of London,"Driveways, Paving & Surfacing",905,1,31,9.1
E09000013,Hammersmith and Fulham,"Driveways, Paving & Surfacing",845,1,32,6.1
E09000020,Kensington and Chelsea,"Driveways, Paving & Surfacing",835,1,33,3.0
E09000003,Barnet,Electrical Services,3795,1,1,100.0
E09000033,Westminster,Electrical Services,3325,1,2,97.0
E09000016,Havering,Electrical Services,3020,1,3,93.9
E09000010,Enfield,Electrical Services,2860,1,4,90.9
E09000017,Hillingdon,Electrical Services,2815,1,5,87.9
E09000009,Ealing,Electrical Services,2745,1,6,84.8
E09000026,Redbridge,Electrical Services,2735,1,7,81.8
E09000006,Bromley,Electrical Services,2605,1,8,78.8
E09000015,Harrow,Electrical Services,2550,1,9,75.8
E09000005,Brent,Electrical Services,2475,1,10,72.7
E09000008,Croydon,Electrical Services,2420,1,11,69.7
E09000025,Newham,Electrical Services,2325,1,12,66.7
E09000031,Waltham Forest,Electrical Services,2245,1,13,63.6
E09000004,Bexley,Electrical Services,2125,1,14,60.6
E09000007,Camden,Electrical Services,2090,1,15,57.6
E09000002,Barking and Dagenham,Electrical Services,2055,1,16,54.5
E09000029,Sutton,Electrical Services,1820,1,17,51.5
E09000018,Hounslow,Electrical Services,1775,1,18,48.5
E09000012,Hackney,Electrical Services,1730,1,19,45.5
E09000024,Merton,Electrical Services,1675,1,20,42.4
E09000014,Haringey,Electrical Services,1545,1,21,39.4
E09000019,Islington,Electrical Services,1530,1,22,36.4
E09000011,Greenwich,Electrical Services,1495,1,23,33.3
E09000032,Wandsworth,Electrical Services,1205,1,24,30.3
E09000030,Tower Hamlets,Electrical Services,1095,1,25,27.3
E09000022,Lambeth,Electrical Services,1090,1,26,24.2
E09000023,Lewisham,Electrical Services,1080,1,27,21.2
E09000021,Kingston upon Thames,Electrical Services,1060,1,28,18.2
E09000028,Southwark,Electrical Services,1050,1,29,15.2
E09000027,Richmond upon Thames,Electrical Services,960,1,30,12.1
E09000001,City of London,Electrical Services,905,1,31,9.1
E09000013,Hammersmith and Fulham,Electrical Services,845,1,32,6.1
E09000020,Kensington and Chelsea,Electrical Services,835,1,33,3.0
E09000033,Westminster,Electronics Repair Services,11950,2,1,100.0
E09000007,Camden,Electronics Repair Services,9560,2,2,97.0
E09000012,Hackney,Electronics Repair Services,6850,2,3,93.9
E09000019,Islington,Electronics Repair Services,6310,2,4,90.9
E09000030,Tower Hamlets,Electronics Repair Services,4070,2,5,87.9
E09000001,City of London,Electronics Repair Services,4035,2,6,84.8
E09000003,Barnet,Electronics Repair Services,4015,2,7,81.8
E09000028,Southwark,Electronics Repair Services,3970,2,8,78.8
E09000032,Wandsworth,Electronics Repair Services,3265,2,9,75.8
E09000022,Lambeth,Electronics Repair Services,3155,2,10,72.7
E09000009,Ealing,Electronics Repair Services,3140,2,11,69.7
E09000027,Richmond upon Thames,Electronics Repair Services,2980,2,12,66.7
E09000013,Hammersmith and Fulham,Electronics Repair Services,2845,2,13,63.6
E09000014,Haringey,Electronics Repair Services,2830,2,14,60.6
E09000006,Bromley,Electronics Repair Services,2805,2,15,57.6
E09000018,Hounslow,Electronics Repair Services,2750,2,16,54.5
E09000008,Croydon,Electronics Repair Services,2665,2,17,51.5
E09000005,Brent,Electronics Repair Services,2580,2,18,48.5
E09000020,Kensington and Chelsea,Electronics Repair Services,2560,2,19,45.5
E09000015,Harrow,Electronics Repair Services,2460,2,20,42.4
E09000023,Lewisham,Electronics Repair Services,2390,2,21,39.4
E09000010,Enfield,Electronics Repair Services,2310,2,22,36.4
E09000026,Redbridge,Electronics Repair Services,2300,2,23,33.3
E09000017,Hillingdon,Electronics Repair Services,2285,2,24,30.3
E09000025,Newham,Electronics Repair Services,2265,2,25,27.3
E09000031,Waltham Forest,Electronics Repair Services,2250,2,26,24.2
E09000011,Greenwich,Electronics Repair Services,2070,2,27,21.2
E09000024,Merton,Electronics Repair Services,1955,2,28,18.2
E09000021,Kingston upon Thames,Electronics Repair Services,1625,2,29,15.2
